,G1 Home Team,G1 Away Team,G2 Home Team,G2 Away Team,G3 Home Team,G3 Away Team,G4 Home Team,G4 Away Team,G5 Home Team,G5 Away Team,G6 Home Team,G6 Away Team,G7 Home Team,G7 Away Team,G8 Home Team,G8 Away Team,G9 Home Team,G9 Away Team
0,North Melbourne,Western Bulldogs,Adelaide Crows,Fremantle,Melbourne,St Kilda,GWS Giants,Hawthorn,Richmond,Port Adelaide,Geelong Cats,Gold Coast Suns,Brisbane Lions,Sydney Swans,West Coast Eagles,Collingwood,Carlton,Essendon
1,Shaun Higgins,Mitch Wallis,Josh Jenkins,Hayden Ballantyne,Jesse Hogan,Tom Hickey,Phil Davis,Jordan Lewis,Brett Deledio,Travis Boak,Jimmy Bartel,Jarrad Grant,Ben Keays,Jarrad McVeigh,Mark LeCras,Alex Fasolo,Marc Murphy,Darcy Parish
2,Ben Jacobs,Marcus Bontempelli,Scott Thompson,Zac Dawson,Nathan Jones,Jack Steven,Stephen Coniglio,Sam Mitchell,Dustin Martin,Jake Neade,Nakia Cockatoo,Matt Rosa,Ryan Harwood,Dan Hannebery,Andrew Gaff,Jordan De Goey,Bryce Gibbs,Joe Daniher
3,Jack Ziebell,Matthew Boyd,Jake Lever,Danyle Pearce,Christian Salem,Shane Savage,Toby Greene,Josh Gibson,Brandon Ellis,Matthew Broadbent,Lincoln McCarthy,Jack Martin,Allen Christensen,Isaac Heeney,Brad Sheppard,Brodie Grundy,Kade Simpson,Zach Merrett
4,Daniel Wells,Luke Dahlhaus,Rory Sloane,Michael Walters,Jack Watts,Sebastian Ross,Dylan Shiel,Ben McEvoy,Shaun Grigg,Brad Ebert,Harry Taylor,Jarrod Harbrow,Ryan Bastinac,Tom Mitchell,Chris Masten,Adam Treloar,Matthew Kreuzer,Martin Gleeson
5,Andrew Swallow,Lachie Hunter,Paul Seedsman,Tommy Sheridan,Christian Petracca,Luke Dunstan,Lachie Whitfield,Taylor Duryea,Jack Riewoldt,Hamish Hartlett,Jake Kolodjashnij,Alex Sexton,Mitch Robinson,Harry Cunningham,Jack Redden,Tom Langdon,Sam Kerridge,Brendon Goddard
6,Ben Cunnington,Jake Stringer,Daniel Talia,Jonathon Griffin,Jack Viney,Blake Acres,Rhys Palmer,Shaun Burgoyne,Trent Cotchin,Cam O'Shea,Zac Smith,Nick Malceski,Tom Bell,Kurt Tippett,Nic Naitanui,Scott Pendlebury,Jed Lamb,David Zaharakis
7,Michael Firrito,Easton Wood,Taylor Walker,Lachie Weller,Heritier Lumumba,Leigh Montagna,Callan Ward,Bradley Hill,Shane Edwards,Paul Stewart,Daniel Menzel,Gary Ablett,Rohan Bewick,Zak Jones,Matt Priddis,Jarryd Blair,Liam Jones,Orazio Fantasia
8,Lindsay Thomas,Jack Macrae,David Mackay,David Mundy,Max Gawn,Nick Riewoldt,Tom Scully,James Frawley,Jake Batchelor,Ollie Wines,Darcy Lang,Dion Prestia,Daniel Rich,Jeremy Laidler,Sharrod Wellingham,Nathan J. Brown,Sam Docherty,Courtenay Dempsey
9,Nick Dal Santo,Tom Campbell,Kyle Hartigan,Hayden Crozier,Dom Tyson,Jarryn Geary,Jack Steele,Grant Birchall,David Astbury,Jimmy Toumpas,Tom Lonergan,Touk Miller,Pearce Hanley,Josh P. Kennedy,Luke Shuey,Levi Greenwood,Sam Rowe,Adam Cooney
10,Scott D. Thompson,Toby McLean,Luke Brown,Darcy Tucker,Lynden Dunn,Jack Billings,Jonathon Patton,Luke Hodge,Bachar Houli,Jared Polec,Joel Selwood,Sam Day,Stefan Martin,Callum Mills,Liam Duggan,Ben Reid,Liam Sumner,Matthew Leuenberger
11,Shaun Atley,Fletcher Roberts,Eddie Betts,Connor Blakely,Dean Kent,Jack Newnes,Nathan Wilson,Isaac Smith,Shaun Hampson,Charlie Dixon,Mitch Duncan,Daniel Currie,Josh Walker,Kieren Jack,Jamie Cripps,Steele Sidebottom,Lachie Plowman,Mitch Brown
12,Sam Wright,Tom Liberatore,Rory Atkins,Matt Taberner,Sam Frost,Sam Gilbert,Steve Johnson,Jonathon Ceglar,Daniel Rioli,Jarman Impey,Josh Caddy,Trent McKenzie,Dayne Zorko,Callum Sinclair,Eric MacKenzie,Jack Crisp,Jacob Weitering,Kyle Langford
13,Drew Petrie,Jordan Roughead,Charlie Cameron,Michael Barlow,Cameron Pedersen,David Armitage,Jeremy Cameron,Jack Gunston,Ivan Maric,Jasper Pittard,Jed Bews,Tom J. Lynch,Claye Beams,Ben McGlynn,Josh J. Kennedy,Ben Sinclair,Dennis Armfield,Michael Hartley
14,Luke McDonald,Shane Biggs,Sam Jacobs,Chris Mayne,Bernie Vince,Jade Gresham,Nick Haynes,James Sicily,Kane Lambert,Dougal Howard,Lachie Henderson,Henry Schade,Daniel Merrett,Lance Franklin,Jeremy McGovern,Tim Broomhead,Nick Graham,James Gwilt
15,Todd Goldstein,Koby Stevens,Kyle Cheney,Alex Pearce,Tom McDonald,Sean Dempster,Matt Buntine,Luke Breust,Troy Chaplin,Darcy Byrne-Jones,Tom Hawkins,Sean Lemmens,Liam Dawson,Dane Rampe,Lewis Jetta,Darcy Moore,Andrew Phillips,Anthony McDonald-Tipungwuti
16,Robbie Tarrant,Tory Dickson,Richard Douglas,Lachie Neale,Jayden Hunt,Sam Fisher,Josh Kelly,Tim O'Brien,Anthony Miles,Jack Hombsch,Cameron Guthrie,Clay Cameron,Daniel McStay,Luke Parker,Shannon Hurn,Alan Toovey,Ed Curnow,James Kelly
17,Brent Harvey,Bailey Dale,Tom Lynch,Brady Grey,Tomas Bugg,Josh Bruce,Heath Shaw,Ben Stratton,Sam Lloyd,Justin Westhoff,Nathan Vardy,Kade Kolodjashnij,Darcy Gardiner,Daniel Robinson,Sam Butler,Brayden Maynard,Ciaran Byrne,Mathew Stokes
18,Jarrad Waite,Marcus Adams,Rory Laird,Matthew Pavlich,Ben Kennedy,Tim Membrey,Joel Patfull,Liam Shiels,Ty Vickery,Aaron Young,Steven Motlop,Peter Wright,Lewis Taylor,George Hewett,Jack Darling,Jeremy Howe,Dale Thomas,Matt Dea
19,Jamie Macmillan,Dale Morris,Jarryd Lyons,Zac Clarke,Jeff Garlett,Jimmy Webster,Zac Williams,Paul Puopolo,Corey Ellis,Brendon Ah Chee,Patrick Dangerfield,Aaron Hall,Harris Andrews,Aliir Aliir,Scott Lycett,Josh Smith,Levi Casboult,James Polkinghorne
20,Kayne Turner,Liam Picken,Brodie Smith,Stephen Hill,Neville Jetta,Jack Sinclair,Rory Lobb,Cyril Rioli,Connor Menadue,Tom Jonas,Shane Kersten,Mackenzie Willis,Sam Mayes,Heath Grundy,Will Schofield,Adam Oxley,Zach Tuohy,Ryan Crowley
21,Sam Gibson,Jed Adcock,Mitch McGovern,Cameron Sutcliffe,Josh Wagner,Darren Minchington,Adam Kennedy,Kieran Lovell,Steven Morris,Sam Gray,Corey Enright,Jesse Lonergan,Ryan Lester,Tom Papley,Josh Hill,Jack Frost,Simon White,Jonathan Simpkin
22,Ben Brown,Lin Jong,Matt Crouch,Lee Spurr,James Harmes,Maverick Weller,Shane Mumford,Daniel Howe,Jason Castagna,Nathan Krakouer,Mark Blicavs,Ryan Davis,Tom Rockliff,Jake Lloyd,Mark Hutchings,Mason Cox,Matthew Wright,Sam Grimley
